gvkey,conm,ind2d,sector_name,markup,weight,markup_base,weight_base,markup_change,contribution
006008,INTEL CORP,33,Manufacturing,3.181477526900057,0.010028931270506624,2.072133043217052,0.0008490938325545084,1.1093444836830049,0.011125539582172512
003144,COCA-COLA CO,31,Manufacturing,2.581918730503564,0.007069580039018957,1.5618834960765753,0.005874755471725015,1.0200352344269885,0.007211220732401061
011259,WALMART INC,45,Retail Trade,1.2221353684278955,0.08142336416723947,1.1705592516796974,0.001632686416253182,0.051576116748198064,0.00419950093632059
008479,PEPSICO INC,31,Manufacturing,2.2016791845564527,0.010605129992364414,1.8754180070697943,0.005936987768792616,0.3262611774866584,0.0034600421987078904
004839,FORD MOTOR CO,33,Manufacturing,1.021639996518478,0.02563510140035539,0.8885483534798888,0.03684824853925101,0.1330916430385891,0.003411817764834136
008543,ALTRIA GROUP INC,31,Manufacturing,2.3278649374915,0.003265520130294283,1.4791201808834809,0.007281413247068034,0.8487447566080191,0.002771593088185208
010499,TEXAS INSTRUMENTS INC,33,Manufacturing,2.4405971207181576,0.002257847863786242,1.2535277864535708,0.00404862957860491,1.1870693342645868,0.002680221960535454
007906,NIKE INC  -CL B,31,Manufacturing,1.7021678186457154,0.005800828281305717,1.2519060611681987,0.0004548135347870612,0.45026175747751673,0.0026118911367659947
005073,GENERAL MOTORS CO,33,Manufacturing,1.0269540694961639,0.028097287028927075,0.9414915841473563,0.05735919015509045,0.08546248534880752,0.0024012639810509196
007228,MEDTRONIC PLC,33,Manufacturing,2.937863839830488,0.005017252059318569,2.48275908712335,0.00031155395827306843,0.4551047527071379,0.0022833752577255556
006829,LOWE'S COS INC,44,Retail Trade,1.172361011423964,0.010979692936409132,0.9715524386674991,0.0008779609621300521,0.2008085727564649,0.002204816467864557
001078,ABBOTT LABORATORIES,33,Manufacturing,2.1093344438610173,0.0035215333959262903,1.5800254695717146,0.0020251146392080864,0.5293089742893027,0.0018639792297232695
008546,KONINKLIJKE PHILIPS NV,33,Manufacturing,1.5923700997964834,0.004368654103158695,1.1824455242410155,0.016884289000988918,0.4099245755554679,0.0017908186789859812
010115,STRYKER CORP,33,Manufacturing,2.6155498938360022,0.0019125001538802685,1.7042935624452442,3.5890904709592354e-05,0.911256331390758,0.0017427778740091936
010530,THERMO FISHER SCIENTIFIC INC,33,Manufacturing,1.6695000419030943,0.003086023758236063,1.1876256416467692,0.00017351278139184187,0.4818744002563251,0.0014870758476767734
003813,TARGET CORP,45,Retail Trade,1.265761301000344,0.01173591154030104,1.152162636602248,0.004007730917964407,0.11359866439809596,0.0013331838764723994
004611,MACY'S INC,45,Retail Trade,1.468922061164798,0.00435323876085877,1.1957344259605234,0.006260374537657195,0.2731876352042746,0.0011892510025585939
010247,SYSCO CORP,42,Wholesale Trade,1.1442684695605605,0.008505672436024285,1.014187538954021,0.001185301052763638,0.13008093060653958,0.0011064257859124316
011060,VF CORP,31,Manufacturing,1.8517900114492845,0.002029699345429352,1.3208343973110175,0.0006297153722883104,0.530955614138267,0.00107768026246848
005568,KRAFT HEINZ CO,31,Manufacturing,1.626419751460244,0.004472970558571892,1.3914999079444572,0.003546055565229158,0.23491984351578687,0.0010507895436704306
