year,agg_markup
1955.0,1.1860123688609543
1956.0,1.167676348963124
1957.0,1.1679216045420149
1958.0,1.1662551702203503
1959.0,1.181104615026762
1960.0,1.170183049105121
1961.0,1.2142186114574591
1962.0,1.2340718162798434
1963.0,1.2545535462775852
1964.0,1.2708691462595494
1965.0,1.2708822222740186
1966.0,1.2642920088897194
1967.0,1.2633453180556538
1968.0,1.2711088598955658
1969.0,1.274824892825952
1970.0,1.2577420163722732
1971.0,1.2579969579758197
1972.0,1.2618765251532056
1973.0,1.2602408265965264
1974.0,1.2369354591852006
1975.0,1.2363116632707416
1976.0,1.2344220937091603
1977.0,1.2302856902738792
1978.0,1.241960527141721
1979.0,1.201101136365856
1980.0,1.1897868992588334
1981.0,1.191543635967729
1982.0,1.2153611011014274
1983.0,1.2397865180946497
1984.0,1.2516810294940084
1985.0,1.2556636475466516
1986.0,1.2921735677732715
1987.0,1.292043142923884
1988.0,1.3328968430996653
1989.0,1.3305647015578854
1990.0,1.3382747452913832
1991.0,1.3385471118566756
1992.0,1.3512827594063035
1993.0,1.336265581961527
1994.0,1.3149653054505444
1995.0,1.3146251339449857
1996.0,1.3097454017367125
1997.0,1.3219747613785735
1998.0,1.3511100809645635
1999.0,1.3366390137887876
2000.0,1.3091507768364885
2001.0,1.2820047256999034
2002.0,1.2558730722991642
2003.0,1.2429449504399748
2004.0,1.2290151524584167
2005.0,1.239505905413242
2006.0,1.222486043056187
2007.0,1.2266329592486749
2008.0,1.2155238660829313
2009.0,1.2521749217526332
2010.0,1.2818832264338758
2011.0,1.2732319287819474
2012.0,1.2729863299732962
2013.0,1.272666632011361
2014.0,1.2634055899513177
2015.0,1.2748112830065754
2016.0,1.319347150734568
2017.0,1.330625250457632
2018.0,1.2919539547995391
2019.0,1.2999102688107531
2020.0,1.3307077427384688
2021.0,1.3785833525488846
2022.0,1.325961196800474
2023.0,1.326621534694863
2024.0,1.3766399053204814
2025.0,1.493475047585256
