quarter,agg_markup,n_firms
1970Q4,0.3043321575390945,2.0
1971Q4,0.6531407746564819,1236.0
1972Q4,0.6529756885982162,1274.0
1973Q4,0.6813413605947478,1310.0
1974Q4,0.6859490945477521,1316.0
1975Q1,1.1113447828077678,242.0
1975Q2,1.0970790104622357,288.0
1975Q3,1.120208300241909,302.0
1975Q4,0.8823116355997724,1370.0
1976Q1,1.180313799147792,850.0
1976Q2,1.178687259644531,937.0
1976Q3,1.1798911573169886,966.0
1976Q4,1.1624740825246087,1337.0
1977Q1,1.1840352409992376,994.0
1977Q2,1.1886155983089266,1013.0
1977Q3,1.1962300496174525,994.0
1977Q4,1.1323889302340655,1349.0
1978Q1,1.1828137448553855,1017.0
1978Q2,1.18957688128578,1044.0
1978Q3,1.1944768179695648,1014.0
1978Q4,1.18451420011027,1377.0
1979Q1,1.1837641756330104,1061.0
1979Q2,1.1829071006565028,1084.0
1979Q3,1.179577309286644,1070.0
1979Q4,1.1585058716633536,1437.0
1980Q1,1.1849682345153396,1067.0
1980Q2,1.182289197548218,1086.0
1980Q3,1.1741153774135056,1060.0
1980Q4,1.152303688620658,1499.0
1981Q1,1.1842070466133872,1164.0
1981Q2,1.1892128886744806,1201.0
1981Q3,1.1972706779018218,1179.0
1981Q4,1.1540493657007092,2697.0
1982Q1,1.2034063303398115,1973.0
1982Q2,1.2230189857250224,2028.0
1982Q3,1.2235072001686444,2002.0
1982Q4,1.1942172596484397,3708.0
1983Q1,1.2152305441270648,2505.0
1983Q2,1.2238025758653484,2622.0
1983Q3,1.235964175440332,2564.0
1983Q4,1.2044769755884497,4025.0
1984Q1,1.2496774759908817,2738.0
1984Q2,1.2325316427820263,2870.0
1984Q3,1.2668979255479844,2814.0
1984Q4,1.2098573418678085,4233.0
1985Q1,1.2630076706347453,2858.0
1985Q2,1.264079578438734,2959.0
1985Q3,1.2760110551053372,2886.0
1985Q4,1.2117549769613425,4611.0
1986Q1,1.2808169712977089,2937.0
1986Q2,1.2755522580361827,3089.0
1986Q3,1.313676663771378,2987.0
1986Q4,1.2351078772109976,4751.0
1987Q1,1.3132712580800971,3026.0
1987Q2,1.290830742849963,3159.0
1987Q3,1.319314851784369,3051.0
1987Q4,1.2246851548393634,4827.0
1988Q1,1.3969325394132903,2957.0
1988Q2,1.343601476369977,3075.0
1988Q3,1.3975010866948478,2957.0
1988Q4,1.2868286302285876,4664.0
1989Q1,1.3972976851983345,2934.0
1989Q2,1.3793341700785904,3038.0
1989Q3,1.3874822013895372,2941.0
1989Q4,1.2734276879318833,4604.0
1990Q1,1.3974389466893384,2846.0
1990Q2,1.3936969267729704,2916.0
1990Q3,1.4040479180048757,2829.0
1990Q4,1.2752372633451616,4658.0
1991Q1,1.4025604135053946,2802.0
1991Q2,1.39715501182248,2874.0
1991Q3,1.3923549309818468,2830.0
1991Q4,1.2735389261517391,4913.0
1992Q1,1.411559046929878,2800.0
1992Q2,1.3864905682275082,2901.0
1992Q3,1.3904325919740355,2853.0
1992Q4,1.2939229648396642,5256.0
1993Q1,1.3679632679528828,2909.0
1993Q2,1.3570361374440838,3022.0
1993Q3,1.3704232487033376,2953.0
1993Q4,1.252696880847878,5640.0
1994Q1,1.3256336822777723,2926.0
1994Q2,1.3119367047988466,3024.0
1994Q3,1.3257770214419107,2983.0
1994Q4,1.2336712907591876,5938.0
1995Q1,1.3091331008973084,3049.0
1995Q2,1.287383069259254,3268.0
1995Q3,1.3075940933590202,3349.0
1995Q4,1.2642378997134585,6686.0
1996Q1,1.2973862541768344,3974.0
1996Q2,1.2978639274435186,4479.0
1996Q3,1.2924384960777677,4614.0
1996Q4,1.2466912410996804,6854.0
1997Q1,1.3052000022291919,4781.0
1997Q2,1.2879072068924957,4994.0
1997Q3,1.303579539134816,4902.0
1997Q4,1.2448718444983693,6712.0
1998Q1,1.3028607109812547,4851.0
1998Q2,1.2765362465116927,4938.0
1998Q3,1.311945990735877,4815.0
1998Q4,1.2667687856770928,6932.0
1999Q1,1.2985108655199928,4888.0
1999Q2,1.3038375831649052,5008.0
1999Q3,1.308103603689991,4948.0
1999Q4,1.2953282999169407,6865.0
2000Q1,1.2595849130251895,4993.0
2000Q2,1.271940355009691,5013.0
2000Q3,1.2899851333283536,4662.0
2000Q4,1.2734308767256248,6482.0
2001Q1,1.295303087729784,2678.0
2001Q2,1.2169658877497136,2448.0
2001Q3,1.2258213216778582,2330.0
2001Q4,1.2239159109579847,6009.0
2002Q1,1.3008459690141339,2264.0
2002Q2,1.2827529424047865,2318.0
2002Q3,1.2935610907034176,2253.0
2002Q4,1.2214187342420193,5890.0
2003Q1,1.2571453167562652,2189.0
2003Q2,1.2344041167600297,2247.0
2003Q3,1.2634307130932325,2175.0
2003Q4,1.205746691440805,5791.0
2004Q1,1.283367084182381,2200.0
2004Q2,1.2807863773652528,2257.0
2004Q3,1.2604225623374776,2223.0
2004Q4,1.163912195871419,5745.0
2005Q1,1.285107764223857,2279.0
2005Q2,1.2432627019331237,2350.0
2005Q3,1.2517857136342172,2326.0
2005Q4,1.2072232606523696,5651.0
2006Q1,1.2244941115852932,2358.0
2006Q2,1.2034523247213513,2441.0
2006Q3,1.204017161051168,2411.0
2006Q4,1.1705304726606771,5539.0
2007Q1,1.212305639785399,2439.0
2007Q2,1.1902578702184052,2514.0
2007Q3,1.2098779410402607,2453.0
2007Q4,1.1879724075574634,5303.0
2008Q1,1.2449298462135399,2419.0
2008Q2,1.2396552556549185,2431.0
2008Q3,1.2781908413479495,2372.0
2008Q4,1.2373572111797018,5126.0
2009Q1,1.309681947160845,2352.0
2009Q2,1.2833910403681716,2373.0
2009Q3,1.3045307242212143,2350.0
2009Q4,1.2328899782231257,5040.0
2010Q1,1.3326374768434444,2405.0
2010Q2,1.323175354815278,2442.0
2010Q3,1.343903145623992,2405.0
2010Q4,1.2638009007520734,4919.0
2011Q1,1.3213594132544317,2533.0
2011Q2,1.28697873076658,2541.0
2011Q3,1.3347612144781684,2500.0
2011Q4,1.243827242534343,4854.0
2012Q1,1.298958695428539,2590.0
2012Q2,1.28605191736515,2610.0
2012Q3,1.282677750292664,2571.0
2012Q4,1.2542400395792979,4964.0
2013Q1,1.2973684058849042,2538.0
2013Q2,1.295803066514891,2597.0
2013Q3,1.3162489740126968,2583.0
2013Q4,1.243059413476172,4949.0
2014Q1,1.2913969125819202,2619.0
2014Q2,1.2764737999498204,2679.0
2014Q3,1.3038793629020256,2644.0
2014Q4,1.2475567926169862,4786.0
2015Q1,1.287949720614997,2580.0
2015Q2,1.279171849597552,2586.0
2015Q3,1.3062829814847894,2503.0
2015Q4,1.2823900759844942,4554.0
2016Q1,1.3518852271317312,2425.0
2016Q2,1.3362628914987842,2438.0
2016Q3,1.3564702942640172,2397.0
2016Q4,1.2951795588106616,4393.0
2017Q1,1.3542831333011884,2351.0
2017Q2,1.3536972523114756,2391.0
2017Q3,1.35798227755794,2334.0
2017Q4,1.272340489224972,4303.0
2018Q1,1.3449216215863893,2280.0
2018Q2,1.323558482992353,2349.0
2018Q3,1.3421767034206726,2261.0
2018Q4,1.2673935180710205,4243.0
2019Q1,1.346349391451601,2239.0
2019Q2,1.316035516317592,2293.0
2019Q3,1.3559470117569525,2218.0
2019Q4,1.2760657450071158,4234.0
2020Q1,1.37783726425978,2147.0
2020Q2,1.4131495157804461,2215.0
2020Q3,1.4534847093707985,2168.0
2020Q4,1.357776790233916,4253.0
2021Q1,1.437999039472153,2246.0
2021Q2,1.4017124041201632,2349.0
2021Q3,1.4036971813688197,2340.0
2021Q4,1.3538083964384007,4389.0
2022Q1,1.4129210856998318,2352.0
2022Q2,1.388056497070762,2455.0
2022Q3,1.3835458583340237,2351.0
