ind2d,year,theta_c,theta_k
11,1960.0,0.9989029509803282,-0.05087583246245472
11,1961.0,1.0825664119471499,-0.12270687550110088
11,1962.0,1.2160050297062814,-0.2136506772106891
11,1963.0,1.2717132206080795,-0.373003786423604
11,1964.0,0.8718655292086803,0.09971959051983202
11,1965.0,2.58193870539674,-0.00018826320378772715
11,1966.0,0.6636342949197106,0.34224572874270964
11,1967.0,1.0501484278694666,-0.19065014394279098
11,1968.0,1.1706076085221726,0.23487147081241097
11,1969.0,0.814804762706739,0.1884294021006226
11,1970.0,3.067826382207638,0.2309108065387412
11,1971.0,1.493803787585348,-0.10254224894398611
11,1972.0,1.0959197735073234,-0.11355091456383014
11,1973.0,2.439531382270613,0.3005874954581582
11,1974.0,1.3272999379668806,0.13944023477390338
11,1975.0,0.8662321986566077,0.12392598210437988
11,1976.0,1.7287371907201732,-0.13308276162718194
11,1977.0,0.8817905250793856,0.0996158177845681
11,1978.0,0.8774897398404918,0.09846885972908853
11,1979.0,0.843067880918146,0.16084199060930104
11,1980.0,0.8901280424690734,0.09987804540959828
11,1981.0,0.8882702178449984,0.09941541632536856
11,1982.0,0.9001634509626957,0.10291638405630787
11,1983.0,0.9514510762916462,0.051020930451921936
11,1984.0,0.827321764018996,0.21121464433222437
11,1985.0,0.771439686341856,0.27963832108853165
11,1986.0,1.0458750557792431,-0.05346567195019092
11,1987.0,0.8048863541312952,0.22323026324964018
11,1988.0,0.8112239191904065,0.21173999932828053
11,1989.0,0.8195311522147591,0.22187331342286226
11,1990.0,0.9121137986382506,0.16433734320109772
11,1991.0,0.7463702559549346,0.3547936400110308
11,1992.0,0.6903218508927482,0.32406859925045095
11,1993.0,1.4436239337025494,-0.252082843530565
11,1994.0,0.6842436899668107,0.3295190179713824
11,1995.0,0.6979026285167187,0.22651098887272458
11,1996.0,0.6973350934214728,0.24821966267752477
11,1997.0,0.7066974950018103,0.21386645754164954
11,1998.0,0.891642818090074,0.38318954468459065
11,1999.0,0.7577872438571069,0.24526240122240944
11,2000.0,0.8231378030407308,0.21457052339167992
11,2001.0,0.8612141649418079,0.17299624432615762
11,2002.0,1.0992123298461667,-0.12876932114735634
11,2003.0,0.9842742880189694,-0.016781189991901674
11,2004.0,0.9851749974004377,0.09338391042904587
11,2005.0,1.4801075855713604,-0.30533656741312765
11,2006.0,0.8739630371336049,0.06858693219668219
11,2007.0,0.8368499329792121,0.17109480468798968
11,2008.0,0.8911726677077922,0.06702189497163458
11,2009.0,0.8360886916739108,0.12236926886227026
11,2010.0,1.0391162332703958,0.05282199550022106
11,2011.0,1.2198893185017856,-0.036551216993075675
11,2012.0,0.8888727171649149,0.08122808384934904
11,2013.0,0.8742779119546183,-0.005632695102418401
11,2014.0,0.9220454284648654,0.03947465900531201
11,2015.0,0.9174295797044116,0.07858183007772135
11,2016.0,0.5873938294206392,0.10162858929975406
21,1955.0,1.177106087871388,0.024053519020013056
21,1956.0,1.2621782300329762,0.18175777032774482
21,1957.0,1.1393513987892736,0.4189854327693073
21,1958.0,1.1005719481919831,0.2658637900920844
21,1959.0,0.965423970474355,0.43762191624407276
21,1960.0,0.8637300616376916,0.10005001993392185
21,1961.0,0.8879827481349925,0.3001327960029694
21,1962.0,0.8814229798009159,0.20063228840947495
21,1963.0,0.8630756201867019,0.22456199915578318
21,1964.0,0.824461629394897,0.1454999016333818
21,1965.0,0.8621867210493341,0.10034610129765567
21,1966.0,0.862718138626207,0.10019654510499475
21,1967.0,0.8123524480703517,0.15203037842302203
21,1968.0,0.8184175738066699,0.1437258523344822
21,1969.0,0.8380427864974977,0.2262192685697555
21,1970.0,0.8385094996816509,0.11949519898308957
21,1971.0,0.7660109435116296,0.31525570593226
21,1972.0,0.8935053626761664,0.06732670995266968
21,1973.0,0.8326515890475674,0.13536836136198366
21,1974.0,0.7957967049331206,0.17564130689649302
21,1975.0,0.7922874727035902,0.17270175095410217
21,1976.0,0.746613852044026,0.2241557172296626
21,1977.0,0.7476816164116957,0.20898905229851683
21,1978.0,0.7260338385740656,0.2406272202921812
21,1979.0,0.9239709649554733,0.03476238939330657
21,1980.0,0.6964893774686705,0.2967594263531704
21,1981.0,0.6674335222855754,0.33537391899007074
21,1982.0,0.6550402362664199,0.34560929771335036
21,1983.0,0.6598071894623101,0.34269896866129923
21,1984.0,0.7235542435683797,0.28451066672443803
21,1985.0,0.6885885133778263,0.32001613720115996
21,1986.0,0.7297684150269546,0.2765360861111923
21,1987.0,0.7222188523813808,0.29036872784228496
21,1988.0,0.7631081720748889,0.24823040415725162
21,1989.0,0.7737332451464731,0.23324104900657538
21,1990.0,0.7608765277026874,0.24440200047622512
21,1991.0,0.7655694078775648,0.2425469908829111
21,1992.0,0.8485232870634832,0.1528876635491468
21,1993.0,0.8488931402624207,0.14870854214689994
21,1994.0,0.7880318973618976,0.21540327889322552
21,1995.0,0.740717096923313,0.2650511773662477
21,1996.0,0.7053896073090804,0.3017439580512309
21,1997.0,0.7192121173543696,0.2871494337405253
21,1998.0,0.69052034043907,0.31581567626770185
21,1999.0,0.6776762133976584,0.33611253047508416
21,2000.0,1.1117402242102883,-0.037045343310630446
21,2001.0,1.0344949825721792,0.02311933464495616
21,2002.0,1.098313698014102,0.002266698719950397
21,2003.0,0.6197723369925292,0.39269977389009714
21,2004.0,0.628327760819134,0.3689015772777965
21,2005.0,0.5697089500885119,0.4405752638807049
21,2006.0,0.6450319503592039,0.3908703328778642
21,2007.0,0.6264938947057709,0.40563572692810657
21,2008.0,0.7144342143693496,0.3524759011873239
21,2009.0,0.7127493499156818,0.34937953529778076
21,2010.0,0.7062667205958002,0.3517259177440686
