ind2d,year,theta_c
11,1955.0,0.8512993516216506
11,1956.0,0.8187275399990461
11,1957.0,0.8101243737933935
11,1958.0,0.817561631970861
11,1959.0,0.7678696174007313
11,1960.0,0.8018579535077531
11,1961.0,0.8164029557163891
11,1962.0,0.8167072963240662
11,1963.0,0.8202757230155238
11,1964.0,0.829109925829406
11,1965.0,0.7963962328174929
11,1966.0,0.8556199394611962
11,1967.0,0.8727972886678858
11,1968.0,0.8667202714871143
11,1969.0,0.8518915980546964
11,1970.0,0.760126718204123
11,1971.0,0.8478085474901131
11,1972.0,0.8601741324278351
11,1973.0,0.8965056085049871
11,1974.0,0.9104174146092108
11,1975.0,0.948592996289021
11,1976.0,0.9330038384905256
11,1977.0,0.9298175931256344
11,1978.0,0.9104334463393581
11,1979.0,0.900629590585188
11,1980.0,0.8902716009637578
11,1981.0,0.858149901332395
11,1982.0,0.8640269640791254
11,1983.0,0.8516434871960382
11,1984.0,0.7740309368002968
11,1985.0,0.7931328194432345
11,1986.0,0.8091065205758707
11,1987.0,0.7933269680076267
11,1988.0,0.7543941355442503
11,1989.0,0.7657806154718597
11,1990.0,0.7797592622414462
11,1991.0,0.7853717254349155
11,1992.0,0.7641937250948045
11,1993.0,0.7899832729858414
11,1994.0,0.8259864956183568
11,1995.0,0.8211397100362429
11,1996.0,0.8128481373115295
11,1997.0,0.8097972932017838
11,1998.0,0.7985635620801672
11,1999.0,0.7969059875203263
11,2000.0,0.8161446600268267
11,2001.0,0.7979185562369899
11,2002.0,0.8223611517319468
11,2003.0,0.8281680798975914
11,2004.0,0.8312037138832289
11,2005.0,0.8369472733610521
11,2006.0,0.8419041381564925
11,2007.0,0.8195488003084586
11,2008.0,0.8627915915411605
11,2009.0,0.8747423830904038
11,2010.0,0.8671599460632885
11,2011.0,0.8857708267271192
11,2012.0,0.8929979397176426
11,2013.0,0.8654663266368061
11,2014.0,0.8583060746328254
11,2015.0,0.8654546592809249
11,2016.0,0.8325131619818719
21,1955.0,0.8207034790932265
21,1956.0,0.8176258077319877
21,1957.0,0.8093801038777322
21,1958.0,0.8050549861283369
21,1959.0,0.7748283803244188
21,1960.0,0.7695961036958667
21,1961.0,0.7747862867916088
21,1962.0,0.7596839027854341
21,1963.0,0.7641663331627112
21,1964.0,0.7495656687758495
21,1965.0,0.7539041502396375
21,1966.0,0.7465351346098349
21,1967.0,0.766120447200904
21,1968.0,0.7777923185401673
21,1969.0,0.7485462943112992
21,1970.0,0.7771808858088298
21,1971.0,0.7907843528123396
21,1972.0,0.8043941070607462
21,1973.0,0.7708053155709164
21,1974.0,0.8270151940199663
21,1975.0,0.8659889532779281
21,1976.0,0.8061561833494735
21,1977.0,0.8158298135578037
21,1978.0,0.7693999954206575
21,1979.0,0.7458222002266228
