gvkey,year,ind2d,markup,theta_c,cost_share
001001,1983.0,72,3.431512010547669,0.8526418896064496,0.24847410907658984
001001,1984.0,72,3.2823954003772857,0.8379558476734089,0.25528790577061267
001001,1985.0,72,3.2681073107619723,0.8219170213504123,0.2514963381538347
001003,1983.0,44,1.35731516555559,0.833401155447712,0.6140071050532879
001003,1984.0,44,1.2935142676033773,0.8408918407516351,0.6500831585797961
001003,1985.0,44,1.4535648876786047,0.8328147413426673,0.5729463805862168
001003,1986.0,44,1.5803694024144452,0.8321880193004786,0.5265781645918255
001003,1987.0,44,1.2979226073107757,0.8257770266611842,0.6362297890566441
001003,1988.0,44,1.2397596306160725,0.820762593787524,0.6620336503291878
001003,1989.0,44,1.3178380801471985,0.8127819539310303,0.6167540353973114
001004,1965.0,42,1.376870049142843,0.8745521092043128,0.6351740382098926
001004,1966.0,42,1.3340431059445663,0.8745521092043128,0.6555651052857757
001004,1967.0,42,1.199549307775032,0.8745521092043128,0.7290672451193058
001004,1968.0,42,1.1930721840556506,0.8745521092043128,0.7330253113700281
001004,1969.0,42,1.2076708762027375,0.8745521092043128,0.7241642788920726
001004,1970.0,42,1.1588015275903385,0.8749534037128591,0.7550502677816405
001004,1971.0,42,1.1840579774900848,0.8754257752949139,0.7393436739901909
001004,1972.0,42,1.1879315704678235,0.8778688522894239,0.7389894116070231
001004,1973.0,42,1.1430221512379717,0.8802419330513526,0.7701005025125628
001004,1974.0,42,1.210381952273614,0.9015047799620008,0.7448101636583312
001004,1975.0,42,1.175712147250697,0.917222369264944,0.7801419517607184
001004,1976.0,42,1.1460754242284494,0.9154372619329197,0.7987583038430496
001004,1977.0,42,1.1525123159000008,0.9110211283117752,0.7904654169360052
001004,1978.0,42,1.179418678729779,0.9108598366089082,0.7722955834393723
001004,1979.0,42,1.157866937645304,0.8987902545211959,0.7762465835228188
001004,1980.0,42,1.1839986044557813,0.8968689780615892,0.7574915837623223
001004,1981.0,42,1.1391504869902307,0.8913688737074031,0.7824856187899321
001004,1982.0,42,1.1822571315913917,0.8994492907189272,0.7607899049069068
001004,1983.0,42,1.1828887115881912,0.8965125536246816,0.7579010137149672
001004,1984.0,42,1.1845408834970683,0.894083663852466,0.7547934193819481
001004,1985.0,42,1.1797128009841333,0.8835050548150611,0.7489153750624971
001004,1986.0,42,1.1679188997409513,0.879425008834693,0.7529846541825401
001004,1987.0,42,1.1570505237850846,0.8721712651199808,0.7537884017949604
001004,1988.0,42,1.1587511793703575,0.864175847561923,0.745782065163894
001004,1989.0,42,1.1413374883895895,0.8644045660030184,0.7573610564765384
001004,1990.0,42,1.109111966769531,0.8701882023833206,0.7845810237877834
001004,1991.0,42,1.1222028436217455,0.8789916755147568,0.7832734344870663
001004,1992.0,42,1.108940615166411,0.8906637414815315,0.803166309629552
001004,1993.0,42,1.118172085761142,0.9010061381172283,0.805784860479603
001004,1994.0,42,1.1199978437529479,0.9011591551959938,0.8046079376156138
001004,1995.0,42,1.12025420585513,0.8964651322365127,0.8002336679934257
001004,1996.0,42,1.1166329719104604,0.8876933513086953,0.7949732576765401
001004,1997.0,42,1.103987394347769,0.8743475484424008,0.7919905181154371
001004,1998.0,42,1.0920982852222787,0.8656906826445208,0.7926856898857997
001004,1999.0,42,1.050682583319528,0.8545375526724042,0.8133165679520233
001004,2000.0,42,1.0424557805361474,0.8511434343072535,0.8164791736964616
001004,2001.0,42,1.0302638794588148,0.8492130937699535,0.8242675597013407
001004,2002.0,42,1.0333485001295089,0.8465799833983959,0.819258926966357
001004,2003.0,42,1.0526594735245922,0.8449299001076239,0.8026621346773873
001004,2004.0,42,1.0638966637672942,0.8509659652215557,0.7998577250992182
001004,2005.0,42,1.0847268440436428,0.8511636907390437,0.7846802127308634
001004,2006.0,42,1.0792870404347563,0.8514645743776963,0.7889139241723044
001004,2007.0,42,1.0930769650491547,0.853119515391735,0.7804752480108946
001004,2008.0,42,1.0958701869908403,0.8547600603355856,0.7799829491508286
001004,2009.0,42,1.0789415776915032,0.8505307362450856,0.7883010107598929
001004,2010.0,42,1.0743954509697016,0.8519204930798707,0.7929301006542472
001004,2011.0,42,1.071059240451634,0.858297983319685,0.8013543517516045
001004,2012.0,42,1.1000221644520225,0.8702819440510327,0.7911494624152093
001004,2013.0,42,1.1234952731899204,0.8730690049250811,0.777100737100737
001004,2014.0,42,1.0494002337421235,0.8837920678953454,0.8421877940161825
001004,2015.0,42,1.0887856647043015,0.8872823872897017,0.8149284253578731
001007,1974.0,33,1.2182890630747003,0.8832243419617508,0.7249710834083022
001007,1975.0,33,1.2691471347597034,0.8800666499547182,0.6934315382757787
001007,1976.0,33,1.2816746571451054,0.8752659855050265,0.6829080848447586
001007,1977.0,33,1.0487595457603724,0.8676770534736189,0.8273365014709211
001007,1978.0,33,1.0720645186743252,0.859162490180239,0.8014093137254903
001007,1979.0,33,1.4242040848340949,0.8493218043533203,0.5963483839131507
001007,1980.0,33,1.3702336141926104,0.8482962150486317,0.6190887497300799
001007,1981.0,33,1.289072625440558,0.8532272466419669,0.6618923013359042
001007,1982.0,33,2.2414183298119954,0.8569732809155015,0.382335269377128
001007,1983.0,33,1.6230955088546093,0.8523471075412586,0.5251367543631154
001007,1984.0,33,2.7176749415079495,0.8448602763781511,0.3108761329305136
001008,1983.0,33,1.3724233087528743,0.8523471075412586,0.6210526315789473
001008,1984.0,33,1.5509365505215218,0.8448602763781511,0.5447419986936644
001008,1985.0,33,1.449417597770036,0.8408677978552409,0.5801418439716313
001009,1981.0,33,0.9535140916093351,0.8532272466419669,0.8948239508468043
001009,1982.0,33,0.9779005560023833,0.8569732809155015,0.8763399055817828
001009,1983.0,33,1.3041828743245123,0.8523471075412586,0.6535487655308484
001009,1984.0,33,1.1696053579129526,0.8448602763781511,0.7223464484514011
001009,1985.0,33,1.2521731123823558,0.8408677978552409,0.671526795728288
001009,1986.0,33,1.282731066821982,0.832250510499054,0.6488113775563168
001009,1987.0,33,1.1392103899378878,0.825184569407183,0.7243478260869565
001009,1988.0,33,1.078767445771439,0.8236045346740882,0.7634681023259088
001009,1989.0,33,1.0474100670838034,0.8211803161573039,0.7840103336448084
001009,1990.0,33,1.0815750145513912,0.817627151195715,0.7559597255811658
001009,1991.0,33,1.097355526994366,0.8201537415601424,0.7473910882888852
001009,1992.0,33,1.0740180874384435,0.8284482506506237,0.7713540957457157
001009,1993.0,33,1.0282673713193973,0.8268912392164791,0.8041597567716973
001009,1994.0,33,1.0283036540709916,0.8273132761460412,0.8045418032608932
001010,1955.0,33,1.0457529621662178,0.8688350648616316,0.8308224755700325
001010,1956.0,33,1.0449857520545305,0.8688350648616316,0.8314324507807196
001010,1957.0,33,1.0339768386912638,0.8688350648616316,0.8402848423194303
001010,1958.0,33,1.0420889059049172,0.8688350648616316,0.8337437045327363
001010,1959.0,33,1.0202464500067983,0.8688350648616316,0.8515933232169955
001010,1960.0,33,1.026044691519671,0.8688350648616316,0.8467809170912459
001010,1961.0,33,1.1045343441884539,0.8688350648616316,0.7866075594960336
001010,1962.0,33,1.101462377037317,0.8688350648616316,0.7888013998250217
001010,1963.0,33,1.1112029545068627,0.8688350648616316,0.7818869283399352
001010,1964.0,33,1.160252692887854,0.8688350648616316,0.7488326208484053
001010,1965.0,33,1.1535925271681837,0.8688350648616316,0.7531559405940595
001010,1966.0,33,1.2136626160873971,0.8688350648616316,0.7158785755983654
001010,1967.0,33,1.2681212807973035,0.8688350648616316,0.6851356238698011
001010,1968.0,33,1.2651744627542645,0.8688350648616316,0.6867314275141088
001010,1969.0,33,1.250285325462651,0.8688350648616316,0.6949094316052467
001010,1970.0,33,1.2285832741271212,0.8794701807302988,0.715840919578806
001010,1971.0,33,1.2266516096558546,0.8787579286796212,0.7163875396749063
001010,1972.0,33,1.2453289199908928,0.8780884406128774,0.7051056363641655
001010,1973.0,33,1.1947857635699624,0.8795692685047665,0.7361732080541836
001010,1974.0,33,1.1756982153740505,0.8832243419617508,0.7512338884351809
