ind2d,year,theta_c,theta_k
72,1983.0,0.8526418896064496,0.1466012360881766
72,1984.0,0.8379558476734089,0.11596830026579986
72,1985.0,0.8219170213504123,0.11405535287352327
44,1982.0,0.820786453277938,0.11626520420941946
44,1983.0,0.833401155447712,0.0880070973394584
44,1984.0,0.8408918407516351,0.08887528654099915
44,1985.0,0.8328147413426673,0.14219147622920475
44,1986.0,0.8321880193004786,0.12614161102825008
44,1987.0,0.8257770266611842,0.14022870593901937
44,1988.0,0.820762593787524,0.15291676344770574
44,1989.0,0.8127819539310303,0.1643107220913348
42,1965.0,0.8745521092043128,0.11233984250342527
42,1966.0,0.8745521092043128,0.11233984250342527
42,1967.0,0.8745521092043128,0.11233984250342527
42,1968.0,0.8745521092043128,0.11233984250342527
42,1969.0,0.8745521092043128,0.11233984250342527
42,1970.0,0.8749534037128591,0.0982250553443557
42,1971.0,0.8754257752949139,0.08862691447290465
42,1972.0,0.8778688522894239,0.06646246751570425
42,1973.0,0.8802419330513526,0.05700130500618221
42,1974.0,0.9015047799620008,0.036780788709220226
42,1975.0,0.917222369264944,0.053626696187703375
42,1976.0,0.9154372619329197,0.07631708137464031
42,1977.0,0.9110211283117752,0.07618787253399992
42,1978.0,0.9108598366089082,0.08565216747243776
42,1979.0,0.8987902545211959,0.09090355547262499
42,1980.0,0.8968689780615892,0.10403396677261664
42,1981.0,0.8913688737074031,0.09851238228644889
42,1982.0,0.8994492907189272,0.11348259177550851
42,1983.0,0.8965125536246816,0.1228966945101427
42,1984.0,0.894083663852466,0.13105234050237882
42,1985.0,0.8835050548150611,0.13735189575885895
42,1986.0,0.879425008834693,0.12917137075037488
42,1987.0,0.8721712651199808,0.10887871530072697
42,1988.0,0.864175847561923,0.10800772204075623
42,1989.0,0.8644045660030184,0.11472902688550357
42,1990.0,0.8701882023833206,0.09510501637335698
42,1991.0,0.8789916755147568,0.08600080712872706
42,1992.0,0.8906637414815315,0.09198867454507188
42,1993.0,0.9010061381172283,0.0858256391188156
42,1994.0,0.9011591551959938,0.08636534319553733
42,1995.0,0.8964651322365127,0.09239326730992974
42,1996.0,0.8876933513086953,0.1086539645070133
42,1997.0,0.8743475484424008,0.10773718800894046
42,1998.0,0.8656906826445208,0.11812516428043784
42,1999.0,0.8545375526724042,0.1203480156150169
42,2000.0,0.8511434343072535,0.14095571776850438
